"threshold","all","none","cabg only","avr only","cabg+avr","cabg+mvr","mvr only","aortic +/-other","other","double valve","not recorded"
0.54,-1.14518319765749,0,0.000132105987479431,-0.000121721853784568,-0.000424846678315689,-0.000972457494196625,0.000348559897266557,0.0010996447301641,0.00308711815096169,0.001117461948494,-0.00296225513616818
0.55,-1.19285393538321,0,0.00016388552923554,-0.000130447434701025,-0.00026267402153927,-0.0017636684303351,0.000117205813408345,0.00124897919969256,0.0030152829409335,0.00101756113572953,-0.00427350427350428
0.56,-1.24269152482374,0,0.00020649576683678,-0.000139569632931865,-0.00028655347804284,-0.00183654729109275,9.58956655159186e-05,0.00147388279684,0.00294018249408584,0.00061769840204109,-0.0044955044955045
0.57,-1.29484714168011,0,0.00020649576683678,-0.000149116119452513,-0.000311543606941925,-0.00191281586630424,7.3594347954077e-05,0.00166902944932083,0.00211809457940693,0.000604582460238398,-0.00181446460516228
0.58,-1.34948635933916,0,0.00020649576683678,-0.000159117200569382,9.75646365717287e-05,-0.00199271627843056,-0.000160739401245731,0.00158524283037902,0.00166401132943884,0.000914398255609481,-0.000418628990057562
0.59,-1.40679090468889,0,0.000176996371574383,-3.96481884081913e-05,8.84122316400469e-05,-0.00207651427163622,0.00011834928475867,0.00180844220893571,0.00157765889926557,0.000828619807616097,-0.000482444384883409
0.6,-1.46696067730612,0,0.000176996371574383,-4.51548812426623e-05,7.8802206461781e-05,-0.00216450216450216,0.000105485232067511,0.00151318633808906,0.00148698884758364,0.000147710487444609,-0.000549450549450549
0.61,-1.53021607928832,0,8.84981857871914e-05,-5.09439685814652e-05,-8.89050534440606e-05,-0.00112850112850113,9.19614843665477e-05,0.00121387475473079,0.000648174625869793,-0.000537817672234216,-0.000619892927585235
0.62,-1.59680071295381,0,5.89987905247942e-05,-5.70377447275735e-05,-9.95396292148811e-05,0,7.77259604707972e-05,0.000830545884815801,0.000410878497358638,-0.000450905698515121,-0.000694042799305957
0.63,-1.66698451600661,0,5.89987905247942e-05,-6.34609141788768e-05,-0.00011074904691926,0,-0.000148249515338123,0.000537502483027775,0.00022103888274892,-0.000534951495069663,-0.000772200772200772
0.64,-1.74106741922902,0,5.89987905247942e-05,-0.000160550688862799,-0.000122581210051659,0,-0.000164088138771683,0.000240188307633184,0.000165220983064849,-9.84736582964058e-05,0.0010989010989011
0.65,-1.81938363120699,0,5.89987905247942e-05,-0.000167718130329889,-0.000135089496791625,0,-0.000180831826401447,0.000123525415354209,0.000106213489113117,0.000928465921080397,0.0010989010989011
0.66,-1.90230667918367,0,5.89987905247942e-05,-0.000175307186000924,-0.000148333565104529,0,-0.000198560436832961,0.000890109610640624,4.37349661054011e-05,0.00118168389955687,0.0010989010989011
